Gene	TCGA-N5-A4R8-01A	TCGA-N5-A4RA-01A	TCGA-N5-A4RD-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4RJ-01A	TCGA-N5-A4RM-01A	TCGA-N5-A4RN-01A	TCGA-N5-A4RO-01A	TCGA-N5-A4RS-01A	TCGA-N5-A4RT-01A	TCGA-N5-A4RU-01A	TCGA-N5-A4RV-01A	TCGA-N5-A59E-01A	TCGA-N5-A59F-01A	TCGA-N6-A4V9-01A	TCGA-N6-A4VC-01A	TCGA-N6-A4VD-01A	TCGA-N6-A4VE-01A	TCGA-N6-A4VF-01A	TCGA-N6-A4VG-01A	TCGA-N7-A4Y0-01A	TCGA-N7-A4Y5-01A	TCGA-N7-A4Y8-01A	TCGA-N7-A59B-01A	TCGA-N8-A4PI-01A	TCGA-N8-A4PL-01A	TCGA-N8-A4PM-01A	TCGA-N8-A4PN-01A	TCGA-N8-A4PO-01A	TCGA-N8-A4PP-01A	TCGA-N8-A4PQ-01A	TCGA-N8-A56S-01A	TCGA-N9-A4PZ-01A	TCGA-N9-A4Q1-01A	TCGA-N9-A4Q3-01A	TCGA-N9-A4Q4-01A	TCGA-N9-A4Q7-01A	TCGA-NA-A4QV-01A	TCGA-NA-A4QW-01A	TCGA-NA-A4QX-01A	TCGA-NA-A4QY-01A	TCGA-NA-A4R0-01A	TCGA-NA-A4R1-01A	TCGA-NA-A5I1-01A	TCGA-ND-A4W6-01A	TCGA-ND-A4WA-01A	TCGA-ND-A4WC-01A	TCGA-ND-A4WF-01A	TCGA-NF-A4WU-01A	TCGA-NF-A4WX-01A	TCGA-NF-A4X2-01A	TCGA-NF-A5CP-01A	TCGA-NG-A4VU-01A	TCGA-NG-A4VW-01A	TCGA-QM-A5NM-01A	TCGA-QN-A5NN-01A
DACH1	0.27816925472163234	2.086095717099874	15.518567102496078	4.887315767142698	4.709745235396526	0.05482756920909959	72.25815403229049	11.753634538913799	17.03913276764565	11.806927156234277	5.286049811410479	0.18420654806562697	7.629196097127194	14.123319941539492	0.6331695810971938	12.919549680527313	4.38533039686776	2.6889232669748546	3.3575429082750627	10.69100641238288	0.17056069517916583	2.1649219454505535	5.5113238148957295	1.461735742784379	0.852455562978097	3.9986819242140443	7.061164177309092	16.848108673807044	4.286506083834413	7.8948794230428945	3.0736699552237416	4.394273385884158	7.821509802066558	3.0741948602462346	3.8614744605862157	11.307963720365153	0.9878471731755458	1.5732699121692288	17.267024806938224	1.8486745226470043	17.592052172772647	0.51911308953136	0.37315705846503433	4.079136101168241	2.4971445709592754	17.159281292068684	8.168434380433698	3.846207787086806	6.3651416979201905	19.347592829835577	0.17424490764911127	0.6999550363509663	1.041763700757481	0.6860980856073624	0.6690329864774875	0.4898862321716706
ST3GAL6	0.35625946536588615	0.7019391729835784	0.4819676251775462	1.8488103035524754	0.85728626202928	1.8184677667074074	0.39773715988226344	2.9281880048486917	1.685253059759269	0.7627161644721057	0.9612610006143236	1.7085085723245053	1.4547331626917561	1.717661633732146	1.422999550114794	1.1870567126795426	1.0330633491540713	1.506284095116384	1.832212054248656	1.2365185144250277	0.1684196055799727	0.11313423520617638	0.370072319058955	0.36038022472880127	1.023984728405023	0.4166264412268763	0.45222309429524765	0.5975707996590005	2.2290222913058613	5.6823754112788505	1.4366031696263577	0.9859014004006585	1.3275334012070803	0.5675676764473159	2.7925952558318916	0.39170232513814174	0.5059034482942959	1.4837609811139059	0.5287269210448757	0.42828326640258374	0.9377978248774828	0.8605635301902246	0.32969744171021054	0.9227199598296465	0.9709065689309573	0.7657927855542526	0.7539602749139762	0.8401042403028036	0.3826231347411566	0.8500502963763812	0.7317316246601613	4.386265532854243	0.2830077206091224	0.9467268605211485	0.27872680048607057	0.34050570168965866
MAP9	3.5029205331378055	0.7986210964017377	2.092010184742809	1.0707703536644089	0.9573207377895303	2.1617005675054908	1.8296805294783138	3.159091180002857	4.695563706449571	3.1255997893303995	2.9324834310038352	0.8542956783005606	1.2223872042218575	1.7819330162366596	2.381167026120056	4.228142308305687	4.764281616253049	1.6840477968345464	1.9115531169600612	2.8605024441177624	1.6807338136034589	0.7113995451586295	0.653820892924728	0.6538410249405164	3.141197785419118	2.014880408579666	1.7011424087876645	2.005705927511449	1.914359930474257	2.0160413858611843	1.0989600178359735	2.0628597997735163	2.519188972590017	0.950121118274974	1.257632371501538	0.9421425082096408	1.3926790702763054	1.5800873404054214	1.5100033196159637	1.780629538254754	2.0332101258144375	2.07032863168058	2.9422308393681917	3.0493615410374186	0.818351096747949	2.8093027417583074	2.5542793998797095	1.3078332083343733	6.723789277228702	2.043579764508106	1.2764626758546505	1.7288374617503575	0.5262202621296113	3.707194045212548	1.2918817940727236	1.2720738902237345
FCGR2B	0.08530106535788007	0.3302483318958629	0.5467624060538998	0.4305974849030094	0.43604457995578194	0.4745579586445823	0.23537085441403405	0.06330282272690013	0.28898756004010595	0.14570695502197295	0.2482382984318292	1.4204300517617359	0.285873558914125	0.6870780881050398	0.39393152981529633	0.26462717654603285	1.1818506678914877	0.6120388120064293	0.9884723158122457	0.6315561221732577	0.10119439557997989	0.1264637619189306	0.38297745997813704	3.0525308292432056	1.761909626092784	0.5671786891170805	0.38002618877610095	0.3660568569848506	0.8170008758986969	1.6326730042619637	0.9438786250654334	0.5571591248190098	0.696296562701568	0.4899966347843856	0.3993983860378789	0.17512359178299275	1.7691733663533546	0.7955390439326331	0.49473082536001467	0.6851151883364432	0.18049708923132468	1.5186994032425685	0.3539722566773338	1.673168371492491	3.4921824963303365	0.6714228091835401	0.7612122669882262	0.7060465020230324	0.23540295768482067	0.594173629517698	0.8967498666337019	1.1996899867970954	0.7387673272295279	0.04037733209937033	0.21012625637003968	0.4752431773352306
CD1C	0.046949978113713264	0.0	0.4811981095410265	0.5620496748625345	0.2739134154292904	0.5147487290384363	0.7793174095563611	0.03976541201622297	0.42571853833457873	0.0713622464646877	0.15291567689102514	1.9984449303735805	0.4956390101984838	0.28478988405974737	2.061607948039844	0.16301128424139333	1.0679758355879931	1.4385396643528745	1.5825479941182747	0.2546449023132964	0.0	0.01416402331462363	0.17330215916877467	0.3759865361032675	0.2442768357019529	0.12353736376835389	0.4128308386937056	0.3111070635741553	0.6943586456244335	0.19462868065817407	0.2617968767206582	0.2549129181910661	0.4243056869509134	0.05652305273200886	0.16370329874204081	0.13316843676671697	0.8897396576810586	0.18060180118637748	0.11847368512684953	0.17172295100525847	0.30029638631360855	1.4514359206916927	0.08668170788053176	0.6406557389044432	0.8327756935274404	0.09761784044214661	0.24633332583740297	0.08870451220374598	0.3672572639039495	0.5595222719169164	1.0208007382759727	0.20820686188369297	0.10334219205531081	0.3889167137816949	0.06979130399018119	0.08691586288249975
CD79B	1.2875410764806352	0.6438595905249034	1.355586741675228	8.78477492062079	1.8267478818934442	1.0937915541452283	1.9257791529124013	0.16460586416331835	0.19203779109974417	0.3118095592722736	0.8152049689147811	1.1878330961825334	1.272788799024978	3.1062178700393313	0.39266261575274974	0.19425273884726302	1.2726556449913815	1.6151703122482344	3.950029648751304	0.30256085682081113	0.5763910449331702	0.7915169470992691	2.5705792623791845	1.418023580234642	3.6721261468233592	0.2840963413570816	8.031743052601891	1.252031431722346	2.411171524481655	1.4949291723128733	1.8143564794373153	0.7775102013857282	8.696917595772373	2.6809386639965207	0.489404653529687	0.8166525929932746	7.574097340154212	3.2929438990350697	0.6084750243903212	0.5162008419040158	0.5233910700740765	2.0616054614387687	0.22924116735528255	2.9858937985128753	4.733670072764219	1.2038262588844106	1.1296431122937087	1.0097601383243382	0.286420746577275	0.6617426869783192	0.5146474136271435	0.5027495018331187	2.4036996402021797	1.0956201414143938	2.0343074623992807	0.8894598900692443
VNN2	0.05117601108476477	0.1934234210633079	0.28411035363585624	0.6548916218876615	0.1492843718727399	0.05610819796202082	0.023167223341117094	0.20227551016698198	0.008923808795328059	0.2787319545578437	0.151527118280826	0.1340509380970658	0.05252451636758959	1.3599537190423465	0.3239793840228411	0.8884207857425415	7.090462777544856	0.4150653418203729	0.9466437868312563	0.4086386050012152	0.08347782699150708	0.03859736698890748	0.08770418803407432	1.2636412922048814	0.7847796796534632	0.014961903785871478	0.11249757947667116	0.5510541465025367	0.20182902270613767	1.1597395545326727	0.2464486359773579	0.3948508211685726	0.2536279537177788	0.554496943436291	0.5650551259884609	0.4838503779218879	1.9971848013245799	0.3093483187806605	0.26544964813396876	0.8021998850614076	0.11198011247281792	1.9310702992974251	0.047242024613824096	0.9776508769162879	0.6808012458488459	0.3990170937180266	0.9555659398063892	0.08057410749027305	0.8702491350620156	0.2613795649294244	0.07132592535646953	0.31205329612979793	0.15287422637920223	1.0774726085857105	0.12361913937905555	0.11052916099007293
RCAN3	0.8068221387265326	2.180219719300814	3.6535412020817244	1.642690290899055	4.0809628374409455	3.5028370979741528	4.39013371765155	6.966616989416369	8.343425808456132	7.0396985613790495	2.068988571324667	1.2499594118574033	4.170770404806516	5.040463039114775	3.8674305404698526	3.7500950418285433	3.7060086741472835	3.720503104909387	5.486479445480706	9.027384275957072	0.24281670697894775	0.46526925249945705	1.4231861290726497	4.492995718605584	1.731009572381296	3.392831027461119	3.3204775173022822	1.1828068997173098	6.640820446078558	3.9412147407252656	1.6914630055419586	3.14212120385557	2.8947040763026117	1.527198653999546	2.8629861037274615	1.4251320507875636	4.868068780370462	4.4677062786164425	1.163773818737706	0.7461467773658887	2.4228191967767794	8.399290576678876	8.143736452540344	2.214166504157914	1.8281097181491508	1.9101136780919505	3.326008703883832	2.34424997549124	8.207733136318902	2.3436369515967033	1.693049894213392	4.300959625293363	0.9609202978932367	5.566234223350999	5.4624984023207706	2.100180119032833
CRYBB1	0.18341166586190205	0.2567472613733113	1.0443425396059944	1.7918652958065961	2.5817126511769826	0.26811775904516133	0.1845108864403704	0.34521092706206713	5.181145571323936	0.3562176262199257	0.3620425611918743	0.5404840766944634	0.7709065619154782	1.077222474333217	0.13175853853931319	0.32805314956822573	0.25285354299076723	0.4407610586874562	1.4743641324337968	0.14737464602469363	0.12692458581671118	0.1475526203731956	1.370140709404355	0.8976024610388207	0.45202531279441405	0.17874179976465232	0.4479826478573672	0.18567850115417217	0.587715995195569	0.6589470122825305	1.0227182888193576	0.4367657340771016	0.32081891850421984	0.662427609830541	0.7638620726604326	0.3468179796012887	0.589118278986946	0.31916697623504575	0.4285383599461079	0.606951809587621	1.4406711245250676	0.5003014549927578	0.11287500073307566	1.0752526144213954	2.1924185311379873	2.589984229664777	0.22642574308263907	0.2502696120936414	0.18713515202878916	0.5620609392115481	4.635382569723018	0.898092835787526	0.3460369225802584	0.14771129726039756	0.36352276307031306	2.4710947495577003
MEP1A	0.0056521156537889805	0.0	0.03218303911216713	0.009332808185900765	6.218202199258558	0.019829917481121617	0.0	0.0255317074914021	0.11038571805762687	0.017182017395370952	0.0	0.014805206376316216	5.7480126430229825	0.02612166721800513	0.024362065347209194	0.028544379851778157	0.029220281499230394	0.02716547464608654	0.20445670393684257	0.10218552427821748	0.0067052202095116975	0.0	0.0	0.012070261282118633	0.006191050145402555	0.0	0.006626535274340428	0.012484301907873085	0.0	0.012496293366598188	0.0	1.7056024360236628	0.013182045048176105	0.0	0.00656918998026268	0.014250313703171091	0.021785514880698464	0.00621197470524093	0.10142266258489707	0.005906578012773167	0.03805416057576849	0.061670268836916176	0.0	0.2947924114030873	0.008717778816850208	0.005875906083667948	0.0	0.0	0.007689147559135412	0.0076981252176762105	0.006302052398109215	0.025065171711669	0.0	0.02341004548136838	0.0	0.006975629934926619
