Gene	TCGA-3H-AB3K-01A	TCGA-3H-AB3L-01A	TCGA-3H-AB3M-01A	TCGA-3H-AB3O-01A	TCGA-3H-AB3S-01A	TCGA-3H-AB3T-01A	TCGA-3H-AB3U-01A	TCGA-3H-AB3X-01A	TCGA-3U-A98D-01A	TCGA-3U-A98E-01A	TCGA-3U-A98F-01A	TCGA-3U-A98G-01A	TCGA-3U-A98H-01A	TCGA-3U-A98I-01A	TCGA-3U-A98J-01A	TCGA-LK-A4NW-01A	TCGA-LK-A4NZ-01A	TCGA-LK-A4O0-01A	TCGA-LK-A4O2-01A	TCGA-LK-A4O4-01A	TCGA-LK-A4O5-01A	TCGA-LK-A4O6-01A	TCGA-LK-A4O7-01A	TCGA-MQ-A4KX-01A	TCGA-MQ-A4LC-01A	TCGA-MQ-A4LI-01A	TCGA-MQ-A4LJ-01A	TCGA-MQ-A4LM-01A	TCGA-MQ-A4LP-01A	TCGA-MQ-A4LV-01A	TCGA-MQ-A6BL-01A	TCGA-MQ-A6BN-01A	TCGA-MQ-A6BQ-01A	TCGA-MQ-A6BR-01A	TCGA-MQ-A6BS-01A	TCGA-NQ-A57I-01A	TCGA-NQ-A638-01A	TCGA-SC-A6LM-01A	TCGA-SC-A6LN-01A	TCGA-SC-A6LP-01A	TCGA-SC-A6LQ-01A	TCGA-SC-A6LR-01A	TCGA-SC-AA5Z-01A	TCGA-SH-A7BC-01A	TCGA-SH-A7BD-01A	TCGA-SH-A7BH-01A	TCGA-SH-A9CT-01A	TCGA-SH-A9CU-01A	TCGA-TS-A7OU-01B	TCGA-TS-A7OY-01A	TCGA-TS-A7OZ-01A	TCGA-TS-A7P0-01A	TCGA-TS-A7P1-01A	TCGA-TS-A7P3-01A	TCGA-TS-A7P6-01A	TCGA-TS-A7P7-01A	TCGA-TS-A7P8-01A	TCGA-TS-A7PB-01A	TCGA-TS-A8AF-01A	TCGA-TS-A8AI-01A	TCGA-TS-A8AS-01A	TCGA-TS-A8AV-01A	TCGA-TS-A8AY-01A	TCGA-UD-AABY-01A	TCGA-UD-AABZ-01A	TCGA-UD-AAC1-01A	TCGA-UD-AAC4-01A	TCGA-UD-AAC5-01A	TCGA-UD-AAC6-01A	TCGA-UD-AAC7-01A	TCGA-UT-A88C-01B	TCGA-UT-A88D-01B	TCGA-UT-A88E-01B	TCGA-UT-A88G-01B	TCGA-UT-A97Y-01A	TCGA-XT-AASU-01A	TCGA-YS-A95B-01A	TCGA-YS-A95C-01A	TCGA-YS-AA4M-01A	TCGA-ZN-A9VO-01A	TCGA-ZN-A9VP-01A	TCGA-ZN-A9VQ-01A	TCGA-ZN-A9VS-01A	TCGA-ZN-A9VU-01A	TCGA-ZN-A9VV-01A	TCGA-ZN-A9VW-01A
DACH1	0.035393507815418834	0.017727439379712218	0.06140341329233645	0.23209848622524687	0.08855266159917852	0.14810915021625481	0.009397011201347505	0.05519192047221955	0.07243452955948815	0.01679468412151941	64.75332544348275	1.2612648585883526	0.09209515649735955	0.6672634894130234	0.15089228167091395	0.2066313544229874	0.48449110518573657	0.15240792709562223	0.07097287682388553	0.9172369533729374	0.016244569688020682	0.15656676909900868	0.03415851071786635	0.07938775172148516	0.020875454699677443	0.029169872392276197	0.08546357468286025	0.1338366171791434	1.0290937473726154	0.0319875384274142	0.028098094564914966	0.004388218536923283	0.011899772701314815	0.039787779026909664	0.07304312622032527	0.47255000626185484	0.02991196581482125	0.2761023917065999	1.5522008939414165	0.06953258676200469	0.11628302447528283	0.05390457864161746	0.16982764761116242	0.06743294518607512	0.017849779099013086	0.05820060321278042	0.21977481119067033	0.028893302468666615	0.07882052909846404	0.2020898936792408	5.8293057809118265	0.13422945901719263	0.023152713593779906	0.9214144583590265	0.024888150000211606	0.5344718903561696	0.2067323557233891	0.031952914329986815	0.20004764728412505	0.10375162462109389	0.21886764506693446	0.8550164551996546	0.08282410867934331	0.25390816393613647	0.012897015716377247	0.013334177634510613	0.03313954714973111	0.13751796542279204	0.07427188488396097	0.037779462919729	0.2668664132766365	0.21389052449210721	0.00883489416684502	0.6904705831449491	0.4901664607510492	0.4907006728376988	0.10667290712897759	0.07825883535602784	0.15041013777091905	0.044424484396584196	0.10784245256186042	1.1137640013546437	0.09237100118447095	0.03478701663476902	4.917375329779466	0.19549758056502986
ST3GAL6	2.0778291241735265	1.7168015748090757	2.1391868186284624	1.6014358869571947	2.7090223673118317	2.7170710694132034	5.680411575392686	2.8380654525211315	1.9658195282367052	7.304719387873446	0.5241909535555542	1.5401641454365218	3.100752443446706	1.5046139324470182	1.5219863403609213	8.195452096234083	1.2038249793260567	2.7630742043215957	3.046580815427677	1.4189751498551915	1.1996185005023854	0.9350829211604044	3.616773814175086	4.184314015992324	6.946771387089435	2.5593170774189224	1.2367100126104393	1.0936692529484584	1.1510920091867232	1.1239845146312448	1.2659667491933644	1.4592026974919725	1.2391120901964179	3.2983314106420645	1.937472988698469	3.4779814310942196	0.8972400496448469	2.1114483205263554	0.5848390574979458	2.308385035860349	3.5738449851232144	5.432861427745998	8.019951254822185	1.8886427970328437	1.8242606239046166	0.8751606058828607	0.7314392085447536	3.635121155891877	4.462372610401062	2.436114511589078	0.6255667525234414	2.1282136229031754	0.7540170157699824	1.6561326687788713	1.8556989361597118	1.385625600631918	1.4689474416876722	1.7343568973580337	1.3237932758657802	0.904001479272768	1.060656884431518	2.2748369319487263	0.5308270337396563	1.2082045106338253	2.006141255041543	7.162932766400457	1.13038215326385	0.68136032123602	5.3508453341123525	2.3694886098762264	6.576262612203513	1.449818921677311	0.519927714218313	1.4513533072368077	3.1273143345046144	0.9670012985065148	0.49417190746715	3.152295260109609	2.0484827204348783	1.9441068048272068	1.262067533318859	0.748143834224708	6.060845679297877	2.978638802290065	1.4874121942285288	4.133663199087483
MAP9	0.2745714207537442	0.06903153361537284	0.9209392353872012	0.20823852928160247	0.32327670318962154	0.10716534871674632	0.548886458500685	0.9850504244997451	0.8447219370117891	0.03321060137471088	0.008134377281645566	1.0332457415567986	0.9045628190026438	0.8592868587169151	1.082883631734164	0.2164099503463328	0.9277771462102333	1.0361005015843414	0.2515885722876581	0.6148432748064743	0.41018317952000083	0.6489745168752685	0.8955835811279758	0.5461966399620755	0.4935468072467808	0.6078783052432806	2.1939962079048114	0.17043961469940117	1.1417979288156928	1.0782317703630024	0.5592884504397664	0.1682094287918534	0.48329407949176506	0.3807366235593763	0.415539681308172	2.7139635021371236	0.9427493778490088	1.5326149031665306	0.660455138389854	0.6702283898439529	0.21029024883633052	0.362964393764976	0.35849472872972177	1.4655651098868065	0.3692608812462095	0.730772501586407	1.1187986181745604	0.9106436900527721	0.660127493218623	0.5200630579415182	0.8329793259542546	0.9843538860914565	0.06808793860127516	1.5028006498422917	0.6991054265406618	0.1382086860428271	0.9811255715176328	0.5422046352083454	1.0256242268381541	0.42084792072720845	0.3317118463658506	0.758408671279222	0.8347865621265826	1.2289963986303403	0.7729421636022864	0.4364857310668486	0.4980409601297986	0.7112133547637456	0.4264842027033897	0.08567783625299863	1.4102037180132334	0.6004217912060368	1.2865482544707354	1.6870876898250162	0.7570694442522738	1.0351428459140557	2.352354246090397	1.400477069429563	0.8713947254018235	0.6335125459034887	3.588529163749639	2.0528349347119326	0.0584508093482663	0.0981332573606617	1.2356476259499822	0.14380472043327663
FCGR2B	4.833247624773787	0.9759284994507527	5.982684000787693	2.067509355723304	0.8135989223265871	0.6305199408852142	0.23936566583059293	1.5722879869353408	0.8723388718757461	0.4943745283739278	0.14594798352966865	1.6263075439220276	3.2692089439077376	3.834150924216412	2.6157052659864672	0.5441277792124926	0.7760849515821717	2.7333968079540654	10.255227741038059	0.7819095846742876	6.778983195916513	1.2361236400727078	2.835505069620968	0.845231742479956	0.6906557689996948	0.773358275062177	1.007320209470894	1.893077478042529	22.433417260839114	2.4219620907682082	2.009468249240416	3.562101315723777	2.3499326241824314	4.247655382202749	0.22497991006439544	0.41827569568756373	2.4910560479478603	2.898225382706982	1.5880829497493165	0.9959269921412017	2.428052890777188	1.1853375828745718	2.7755563452213226	7.8305532351426645	1.7363636710637325	0.8622801278477592	2.0107895289827007	2.658560096424545	1.1099312793039764	4.448516422106457	0.9862191018465687	5.657596536554254	1.5857274891415551	1.689788205449294	4.001090322557254	0.5035921085744994	5.181975021907324	1.4506630297843106	2.662083252488022	1.2787097075134217	0.5275153330670845	2.0510260963566607	1.4770050140556488	0.6412522276039938	0.48775110088863505	2.143987198786234	1.6977714639150845	0.8846687316201356	5.556228955885397	0.9185959051604213	1.41960556106384	4.059715786031632	1.7108174058590726	4.0125653970209605	0.8493728378246217	1.248716859121819	1.4432937321470423	2.8178729393895128	5.428279852807215	0.755605535543717	1.3773764663459187	1.3144581704157563	1.2388861230870085	0.7250018599813746	1.4003182664805305	1.9976913580080935
CD1C	1.7113038503929188	1.038548755919181	0.219064700014016	1.034128765818342	0.8530649085961335	0.5411765246917084	0.5293431362093071	1.202153104294748	0.015112260154825696	0.6464753766500286	2.723697033058404	0.7739468838064032	0.7411161747635209	0.12164280452074139	0.828196816538701	0.5978889511876166	1.495058703947369	0.484298553221322	1.205186324894517	2.481274109993914	0.9964128493307207	0.698215507613241	0.04664687089233621	3.1877278246923604	0.4367760268494645	0.6983465643241042	2.728074727309196	0.31559240433316416	0.8240817787114949	0.09610081928080261	1.3717548508309205	0.2966313411282484	0.3351631102106365	0.9236814190665621	0.918925793817764	0.28777534424086726	2.2129289201285713	0.6699808430369043	2.3236875985997383	0.5772186547778906	1.370719352206816	0.8772109328436839	1.002211361145536	0.8103607338988978	0.06703307286719817	0.3179150339832766	0.48144977947552503	0.0868047425805456	0.20894306110831473	3.272101684382166	1.1621505292828003	0.11938864829990958	0.04347385838218143	1.842278969388397	0.8723397746404848	0.5686942310244394	2.766674822157803	0.15999466232163573	0.32020878564567146	0.725142718553478	1.5093728434130318	1.392692266280822	0.6220754309019507	0.37002536254422846	0.24216730904389872	0.4707066918198657	0.2986854683038458	1.7429683382331427	1.9175797317171348	0.18057075447801907	5.615011487489855	14.78700331890051	0.08847618056265483	1.0644921542667576	1.117049352545454	1.335186200586739	0.5196966613214746	1.210148819898941	3.315425886407751	0.15640475593165548	1.340661919455577	2.6094336477403286	0.6382778248810983	0.4750515873171124	0.20367700081065965	0.6136360897933075
CD79B	3.117793684124239	4.400037386673007	0.35794795049090533	7.23641547429175	0.5985078930096803	2.489065105560856	1.0712412057731613	1.7826689587221822	0.8445065187915819	2.5781313698516124	1.31622828086457	3.2998043988577717	4.147202184140112	0.8224340192200192	3.2478224348985982	3.133137482082618	6.441676873079645	5.490189799627351	0.5756280098394204	2.5879001283885406	0.673399892680238	3.5493799463302	0.26550030902660615	12.024543323220488	1.2748723342790753	0.7085176186397018	2.946650676248046	1.7095712472579212	1.1468767426841713	1.077380278664978	9.370191557765628	0.5457256083564712	0.5934911516479913	0.9933624197843614	2.7819001374377326	1.141589571715238	1.053971124687668	0.7483600121744118	18.999274159600457	1.2800101178713006	1.2887817803024455	0.3351828164993669	3.8342907123221845	0.7826993819249255	0.7168188092544276	1.9876854175462304	1.831592358171438	0.6288127205921021	1.3093681451610344	6.454720623053453	2.7626278481409576	2.3154191083663203	0.2399422568401548	1.9230712201706166	1.2573960032893274	1.719391360376255	18.629688043037813	0.6806824195512062	1.9287428047467152	0.73921785527683	7.299565029727811	6.458870770688437	1.1755587234673857	0.9720350060980572	0.3174371000523153	1.285150604682626	0.48081659120260967	0.556703963089141	0.8057941578064434	0.49830583206883494	5.1429906739079145	47.62011007393163	0.16023015031495658	1.3181488769274319	2.789559967319575	3.2735086024514857	0.24649674876698335	0.7036899027242762	11.944919813514009	1.4459168518348307	0.5877145488773994	8.526855243760505	0.6318069899088912	0.8521237847501961	1.2646579160864189	0.8466997969723828
VNN2	2.499194329596277	0.6240678078461606	2.8842475190479453	15.249569916729701	0.28368319425598654	0.9257973515775397	0.602634051933294	1.958010063306351	0.3376869829870006	1.0913722176971095	0.17101732715493068	1.00389699667492	4.290448729838085	0.9016258917704902	2.779501159641164	0.6655718492418057	1.0915453070248442	0.7258500439230475	0.6315705893485284	2.2511959572898332	1.1415146933871427	0.9613425583073001	0.41947637126887694	1.02489960881763	0.604269150470421	0.8283709218459931	0.6794952175126523	1.07659045360667	0.41815483211955895	1.0802445634910982	5.619429874747535	0.35027583673481644	0.6819523366653404	2.3912052687918144	0.36627119166186883	0.2417937698196435	1.2305473733018184	0.5651028442499753	1.1795825462633691	0.5542731353956238	2.5849247224218344	0.24272005448497525	3.2701717600199807	1.589944379546865	0.4201341758420065	0.42233466760505656	2.309057278846262	0.22471812632459542	0.5788653897343494	2.2783023718299735	0.8949915835740805	2.4942539164057242	0.35540250728317235	1.0564378832229937	1.7319241063218462	0.15497079785760492	4.808206440055703	0.7557160211725351	1.8324139300093036	0.1946541510290123	1.417181415128666	5.278036477817655	0.8402163158353362	0.23269145837579996	0.14518081934183313	0.38753586877012425	0.23739520264508207	0.6244894893202813	0.7600668204311312	0.26711852969684946	1.3393109329230883	2.8554732112754966	0.5243927441265179	2.7892033096358912	0.24866407838935567	0.4149603464295497	0.21242823081988416	1.8090185169305792	9.931400658500847	1.0569943893089966	0.6697793517727229	0.09754862047456214	1.1570294080319448	0.7443542365845919	1.0113800348295348	1.0092775508356895
RCAN3	0.7883307472532162	0.39147406439182886	0.69434922486203	2.2167208389911166	0.6479254586655656	1.5454220819262967	0.5247472347084299	0.7424874358020626	0.7017260662357043	0.2941430991681917	0.7457090086914104	0.9384584419945678	1.5962627533728586	0.8238261944168472	0.8455578062554971	0.39981314948303237	0.863698228550644	1.7095900056700088	0.6931792874357967	2.4771595866881064	1.0163958156001809	0.9277008325818312	0.3830718551759982	1.069539859635669	0.41784452389713334	0.42481022458934414	0.5381522421092604	2.303730904037816	1.031402192088981	1.7221033929958978	2.2374271248661612	0.7718967556378182	0.3896423101239015	0.3745889038753041	0.6730133993427618	4.194055230246081	0.5739902092919575	0.9283199778635383	1.354285978401871	0.9251919750405158	0.3960031881144168	0.2271284185090443	0.7996757575448594	1.5178733850354411	0.4655350770218374	0.3344043214150543	4.298216548984764	0.3300254493509098	0.46957076830717326	1.6725814535569183	1.9927685450977637	0.5379640158574899	1.1400958442952178	0.6236795272437285	1.3234708376233901	2.479248094210715	1.714476648627158	0.6082883118703277	1.363500318695079	0.7176276206247125	0.7121077722388363	3.582240017071376	1.1270151255886236	0.8830438633642275	1.2767079695426733	0.4691019086041588	0.39619155116028804	0.37960020408110506	0.6610054762663444	0.5753667533527229	1.372388170185006	3.1871390272403275	0.9014987685623805	2.4268903846775847	0.612516717743306	1.1321649016682285	1.3633362897584882	0.4241591278435297	1.4042918305566978	0.8710811530505236	0.5635128482956191	0.2177579632974045	0.35732084399440933	0.32750836435183817	0.5460710445963721	1.188719410557891
CRYBB1	0.7572307709394459	1.1443174725933827	0.9758935855304574	2.8471385440229318	0.7719412146983022	1.017911682615884	1.041607244023683	2.0152496706340486	0.6100443674994593	0.9650199587923989	0.5393656820023012	1.1085981452698865	1.1580780879756771	1.3305647601607107	0.9270968120955323	1.2092492775449597	1.2489113133116518	1.3186168741924975	3.3047246299818784	0.152049892083165	0.9003108063045946	0.3349687063695592	0.273341350985586	2.075494296013938	1.2396052835158065	0.5349243726942015	0.6269009128379424	1.3850787833429958	2.127700349394427	0.6882719747515385	1.1777596443673097	1.1588002936122104	1.6439314620853218	1.1497328969227039	0.4464943366643719	0.593329912334801	1.1555763265338794	1.3501958157105736	1.07201703731346	2.6844333990354703	1.8007161462554633	0.7556652326005022	0.762695908808604	0.9892816922178536	1.5930239446863603	1.086702535061732	1.1284798370075388	0.7347288896727557	4.829438244299196	1.9927208318045389	0.7073157343341168	0.6391349346106456	0.6038474219331271	0.8552866974186935	1.0750875285154438	0.6751991797562491	1.7645890750545044	1.0069839492667874	0.8179003203084281	0.8456102617705414	0.31136188464363634	2.31729220852198	0.4050264261999017	0.7042259883958364	0.914500232837995	1.173722231315593	1.1020012098163234	0.8406128807436373	2.0884249808847932	0.8901548309454048	0.8938561899586182	0.7131595672048217	0.7344747362116164	0.9774191827839411	0.7990039494826877	0.6034983149245916	0.6626387878635505	1.0130329277306944	1.694929863482845	1.8873124405388206	0.4364450667920785	0.5520130049135521	1.4816174475966801	1.3918537319076822	0.6483245528932835	1.0701741016996622
MEP1A	0.04000327466811893	0.0	0.005552063661609763	0.056911784427895684	0.0	0.07962780986440499	0.00566448471633163	0.0	0.0	0.0	0.0060441425825426	0.0	0.0	0.0	0.0	0.012251472868074043	0.006791848930453037	0.010600494567897467	0.0	0.021085442249415998	0.0	0.0	0.0	0.005521690681809188	0.0	0.006593810500087782	0.0	0.0	0.006841919419406706	0.005784592100182007	0.0	0.0	0.01075971058513514	0.0	0.0	0.011548031850834306	0.0	0.0076815476970322205	0.006394039700847509	0.0	0.0	0.0	0.0	0.0	0.008069837211774455	0.019136244704928584	0.0	0.0	0.008384599907426571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04758123645473056	0.0	0.005930557658769153	0.0	0.0	0.043467542302768614	0.0	0.006853205927340733	0.0	0.0	0.011985840240929635	0.0	0.00839452994208778	0.0	0.03305468192400296	0.0439542417819232	0.0	0.006571787305850396	0.0	0.005313639685581295	0.005213679453277331	0.0	0.02365218069591024	0.030126285202989322	0.0	0.013608911217310116	0.0	0.0	0.0	0.01055330523548581
