Gene	TCGA-3X-AAV9-01A	TCGA-3X-AAVA-01A	TCGA-3X-AAVB-01A	TCGA-3X-AAVC-01A	TCGA-3X-AAVE-01A	TCGA-4G-AAZO-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA2G-01A	TCGA-W5-AA2H-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA2I-11A	TCGA-W5-AA2O-01A	TCGA-W5-AA2Q-01A	TCGA-W5-AA2Q-11A	TCGA-W5-AA2R-01A	TCGA-W5-AA2R-11A	TCGA-W5-AA2T-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA2U-11A	TCGA-W5-AA2W-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2X-11A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA30-11A	TCGA-W5-AA31-01A	TCGA-W5-AA31-11A	TCGA-W5-AA33-01A	TCGA-W5-AA34-01A	TCGA-W5-AA34-11A	TCGA-W5-AA36-01A	TCGA-W5-AA38-01A	TCGA-W5-AA39-01A	TCGA-W6-AA0S-01A	TCGA-WD-A7RX-01A	TCGA-YR-A95A-01A	TCGA-ZD-A8I3-01A	TCGA-ZH-A8Y1-01A	TCGA-ZH-A8Y2-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-ZH-A8Y6-01A	TCGA-ZH-A8Y8-01A	TCGA-ZU-A8S4-01A	TCGA-ZU-A8S4-11A
CCL20	10.95328425879205	5.637803335297403	7.67658161357684	43.39416077841032	18.450615837142873	8.042300886929846	39.79392344052094	18.679417508839848	10.094613437730713	8.14936176772601	0.3832996915503677	25.613333122274685	26.74272625546147	0.6075027700816891	31.204895469501174	34.87563930239079	6.026586115976847	36.697704707890566	0.4965897276841824	7.3197442077389745	4.64226533701889	4.027543288233558	83.61204290935049	163.84464242844516	0.7297997265455864	28.074069861059485	0.5521298199586646	21.391887268339566	66.15807673987847	0.43592491127945543	14.359833018422815	35.61932974836302	7.545042966547193	48.55764217006454	13.816990798811286	39.006890906288376	114.65456735190006	88.2077984995921	70.99963830822105	2.176716209650709	29.859076777789593	0.12532835630016925	13.414215065718414	6.071442211488586	0.5169669784240183
PDCD1LG2	1.6615024171587294	0.3147246590451831	1.1384053901456572	0.6464891598013951	1.1406090786174756	0.2572923226913233	0.21531742863888992	1.0147856136445728	2.32539722930145	0.030579745519818013	0.2539394221474074	0.13909064607993837	0.3258483917482109	1.0349381229025174	2.051807814702656	0.47486452998655193	0.06963953006077706	0.6283215326891856	0.3500637188021478	0.5128996566354389	0.06734762801998007	0.5966346873155899	0.4886483065005083	0.5743908832327631	0.41442749799193823	0.7475064101844002	0.40196798840163495	0.9677604234542498	0.2079455865332318	0.44867778857234186	0.1884210001902178	0.1401405988566169	0.047783236184682165	0.45008655405590914	0.8013914335076087	0.2997248889346906	0.19455634466405414	0.31241223152606845	0.3669333146186169	0.22231659768274947	0.2506750203780894	0.34794001552765086	0.9051239550502834	16.036998534556407	0.5515506749364825
ZBP1	1.9526564882235804	0.11396709079999257	0.27538240690029303	0.787339272616016	0.9893315194673953	0.5136474682134728	0.13189935360294514	0.1424238758551961	5.939335568979479	0.04906149119320857	0.01587331130899905	0.05216588523543564	0.1425775109133809	0.33208652811864514	1.967393889810198	0.1018532779577328	0.06529568729770174	0.2711085675845728	0.09786060224201831	0.7574284822949311	0.45465656531894516	0.20304835540158406	0.3246773086642021	1.1629301237246308	0.1893953686467864	0.22598066128365968	0.03165916237983346	0.669456085007319	0.15597980033789427	0.08462175587536347	0.045802823049678976	0.7808030911195665	0.027877238008526595	0.26382379601064176	0.8644055610265513	0.10153313655818241	0.10641206177827689	0.11138389287168349	0.06324875820913323	0.05836581907718119	0.06468591633331822	0.027680704288033153	0.5432462793751136	0.5430935948956581	0.08174260472901373
SPIB	0.8531596326121362	1.9365165520646057	1.8867054994392682	0.07738187813649722	10.985264644839884	0.11548780163982442	1.1657117597628206	0.19039557665112516	40.44539880781153	2.0947947141123047	0.030061404213515885	0.10977054025398059	2.103298308543738	0.12197168440600414	8.63956917962604	0.0874448815247657	2.775460731467048	0.45799313619925197	0.03760352503812969	0.4250202130141858	0.09567152283576719	0.23194459303026504	19.23639200894714	10.751133084077281	0.13228034390520427	1.7869611310175175	0.022206360489769983	1.4867821119386848	13.473509769941913	0.03846227810839409	0.017348581540526098	0.05677423778340063	0.03519655955052703	0.3190178613847108	16.545429070353734	0.042730405909376046	0.0859847241537981	27.428919291516486	4.06646567545009	0.28984766603769385	0.3550850347657055	0.03057987172209642	3.084241034411879	0.11428096552291267	0.014743510480169864
CFP	1.0458637472429646	0.6113703899805594	0.2343867414237133	0.2338861022838148	0.6364486073027338	0.16621949933517022	0.7789729088975832	1.8504832908474276	10.1568431865882	0.1843850841636132	1.2093080139471457	0.6521068151136407	0.14624837673702884	9.8489952808214	0.9335838833048096	3.955637650083337	0.4421823182784741	0.33826404629371676	2.4876823767181437	0.18776524889779567	0.27348410073376006	4.967971788736265	0.29931448973716757	0.5786267351675123	4.03148074368482	1.12036117007435	3.905660118064346	1.9053891121052908	0.3940635514028654	2.298897198781198	0.3570638344949648	0.21245674121594682	0.27165229225196863	0.2677288260362063	2.8414720298635503	0.8294960674686018	0.16088313116414077	0.2093039567522843	0.45398909883466154	0.26656615126008365	0.2358576298120023	0.38825802104242624	1.1715509497262153	0.20364502722425337	4.786186193813082
ZNF286A	0.0	0.0	0.014592567738172857	0.0	0.0	0.008451338099487948	0.0	0.0	0.039790130367982846	0.010714236763575968	0.0	0.0	0.0	0.0	0.0	0.0	0.04705642531250431	0.0	0.0	0.0	0.005056417151342529	0.0	0.0	0.00511651389395662	0.0	0.0035714195153324635	0.0	0.0	0.0	0.0	0.0	0.0	0.008370915079799035	0.004463122433301159	0.004897392093646591	0.0	0.010225016780685214	0.0	0.011687505576790658	0.0	0.0	0.004155950185473323	0.0	0.0	0.0
PADI4	0.09326046091374662	0.02591686830083373	0.029470012261615386	0.09434766909166847	0.04017509183053014	0.012800747710472349	0.017139876093205997	0.007620736224647873	0.49075195650182635	0.0	0.014438782838301911	0.007908577630876934	0.0	0.14279893453927395	0.03125927333786693	0.1260018639542253	0.0	0.020840071031176022	0.015481145423672737	0.008505888084411772	0.0765865943488182	0.17590299257132203	0.021609881537692388	0.007749684457336148	0.0586481787801143	0.06491304403492748	0.1599889418659599	0.3301562823681661	0.031529631655208945	0.01847380372292662	0.01666538260406636	0.059496468761776056	0.0	0.06760030612537493	0.09643131520684523	0.015392870051985641	0.0	0.009210702563808182	0.044255953463025355	0.05663049516213481	0.010233046340196283	0.006294774767618749	0.1849081726809907	0.04704878717138916	0.1274661091201741
ZNF165	2.0203643337998147	3.252450118273515	3.677576397245235	17.572850750226106	3.3763017515776097	2.906024894668324	2.9847829265913446	1.4506706163458052	2.8893639991886992	4.81682998306669	0.29521383259785483	1.1932193180563044	2.6757367936768084	0.4027106165296437	2.6556696205482817	1.6721920223616653	4.533675528431739	7.366037015877097	0.4911608299524559	5.229308574010606	2.3650209314875945	0.5084698487900607	3.148697515419948	3.3110425697217707	0.24809265185875118	2.82984569570818	0.5233787277555775	2.824280419467292	5.890781192827957	0.2170766922191436	4.758591586435139	6.459814271094964	5.738864182575548	2.0017326528108224	2.8972943733982195	1.834063754216937	5.142838886249689	3.23392706782571	1.4103219235422064	2.655095366600404	2.092237872868332	1.9349725353238751	2.6432823466065134	0.8513850573358659	0.5591757994753057
CCL23	0.853279223253633	0.2086694193001688	0.44489535787157597	0.7596393627926026	0.7116326157800192	0.10306509877481362	0.34500387447762204	0.398828855290305	2.356906676852338	0.032665355986579936	0.465014892278351	0.25470335112703935	0.0824381093801001	2.0341629338789855	0.2516837427831726	1.8499757168872915	0.06376209391943344	0.22372484565027162	1.1218166598529984	0.03424253861619486	0.09249543569523544	2.726341456721004	0.231989008305868	0.4991720872153982	1.7412568784115283	0.5879776031325092	1.4427273816807968	0.8565472789084403	0.09519769882918894	0.47101524225493807	0.03354529249100313	0.17963822021466536	0.10208433024136299	0.19049912825108017	0.6569672320763427	0.4957421888838227	0.03117383164829901	0.3337194794757854	0.14253055581385032	0.0854924802472472	0.020597818886616492	0.050682319334985904	0.7957306612519834	1.6730901477757882	3.0503683898520677
BRSK2	0.5327488323742324	0.970435226390675	0.16805868972706817	0.686619625537277	0.0933717323297234	0.3360701591067232	0.07008031765812084	1.7383514242131728	0.14081066809312204	1.0302150734153832	0.015535862600623673	0.15997827823433242	0.14101538397195124	0.014182985140692272	0.10763007514103418	0.015950078729879857	0.31357316592393714	0.376715303986058	0.009994455248518053	0.15741745914124539	0.22414365468823005	0.015141468663665947	0.15501221219899453	2.755045942905501	0.022086523505914446	0.288693624446442	0.005508644314467626	0.11999286611920379	1.4553953278681369	0.007950988100960954	0.11476251303261731	0.16964530748725015	1.2223500507643403	0.14547335180278398	0.057466139299670926	1.19580836664315	0.2632908493062185	0.194246685286664	0.03809486824243424	0.1767067518713903	0.7046763593031591	0.15171656478917295	1.0510458488184984	0.010124724517301065	0.012191215097904662
