Gene	TCGA-3G-AB0O-01A	TCGA-3G-AB0Q-01A	TCGA-3G-AB0T-01A	TCGA-3G-AB14-01A	TCGA-3G-AB19-01A	TCGA-3Q-A9WF-01A	TCGA-3S-A8YW-01A	TCGA-3S-AAYX-01A	TCGA-3T-AA9L-01A	TCGA-4V-A9QI-01A	TCGA-4V-A9QJ-01A	TCGA-4V-A9QL-01A	TCGA-4V-A9QM-01A	TCGA-4V-A9QN-01A	TCGA-4V-A9QR-01A	TCGA-4V-A9QS-01A	TCGA-4V-A9QT-01A	TCGA-4V-A9QU-01A	TCGA-4V-A9QW-01A	TCGA-4V-A9QX-01A	TCGA-4X-A9F9-01A	TCGA-4X-A9FA-01A	TCGA-4X-A9FB-01A	TCGA-4X-A9FC-01A	TCGA-4X-A9FD-01A	TCGA-5G-A9ZZ-01A	TCGA-5K-AAAP-01A	TCGA-5U-AB0D-01A	TCGA-5U-AB0E-01A	TCGA-5U-AB0F-01A	TCGA-5V-A9RR-01A	TCGA-X7-A8D6-01A	TCGA-X7-A8D6-11A	TCGA-X7-A8D7-01A	TCGA-X7-A8D7-11A	TCGA-X7-A8D8-01A	TCGA-X7-A8D9-01A	TCGA-X7-A8DB-01A	TCGA-X7-A8DD-01A	TCGA-X7-A8DE-01A	TCGA-X7-A8DF-01A	TCGA-X7-A8DG-01A	TCGA-X7-A8DJ-01A	TCGA-X7-A8M0-01A	TCGA-X7-A8M1-01A	TCGA-X7-A8M3-01A	TCGA-X7-A8M4-01A	TCGA-X7-A8M5-01A	TCGA-X7-A8M6-01A	TCGA-X7-A8M7-01A	TCGA-X7-A8M8-01A	TCGA-XH-A853-01A	TCGA-XM-A8R8-01A	TCGA-XM-A8R9-01A	TCGA-XM-A8RB-01A	TCGA-XM-A8RC-01A	TCGA-XM-A8RD-01A	TCGA-XM-A8RE-01A	TCGA-XM-A8RF-01A	TCGA-XM-A8RG-01A	TCGA-XM-A8RH-01A	TCGA-XM-A8RI-01A	TCGA-XM-A8RL-01A	TCGA-XM-AAZ1-01A	TCGA-XM-AAZ2-01A	TCGA-XM-AAZ3-01A	TCGA-XU-A92O-01A	TCGA-XU-A92Q-01A	TCGA-XU-A92T-01A	TCGA-XU-A92U-01A	TCGA-XU-A92V-01A	TCGA-XU-A92W-01A	TCGA-XU-A92X-01A	TCGA-XU-A92Y-01A	TCGA-XU-A92Z-01A	TCGA-XU-A930-01A	TCGA-XU-A931-01A	TCGA-XU-A932-01A	TCGA-XU-A933-01A	TCGA-XU-A936-01A	TCGA-XU-AAXV-01A	TCGA-XU-AAXW-01A	TCGA-XU-AAXX-01A	TCGA-XU-AAXY-01A	TCGA-XU-AAXZ-01A	TCGA-XU-AAY0-01A	TCGA-XU-AAY1-01A	TCGA-YT-A95D-01A	TCGA-YT-A95E-01A	TCGA-YT-A95F-01A	TCGA-YT-A95G-01A	TCGA-YT-A95H-01A	TCGA-ZB-A961-01A	TCGA-ZB-A963-01A	TCGA-ZB-A964-01A	TCGA-ZB-A965-01A	TCGA-ZB-A966-01A	TCGA-ZB-A969-01A	TCGA-ZB-A96A-01A	TCGA-ZB-A96B-01A	TCGA-ZB-A96C-01A	TCGA-ZB-A96D-01A	TCGA-ZB-A96E-01A	TCGA-ZB-A96F-01A	TCGA-ZB-A96G-01A	TCGA-ZB-A96H-01A	TCGA-ZB-A96I-01A	TCGA-ZB-A96K-01A	TCGA-ZB-A96L-01A	TCGA-ZB-A96M-01A	TCGA-ZB-A96O-01A	TCGA-ZB-A96P-01A	TCGA-ZB-A96Q-01A	TCGA-ZB-A96R-01A	TCGA-ZB-A96V-01A	TCGA-ZC-AAA7-01A	TCGA-ZC-AAAA-01A	TCGA-ZC-AAAF-01A	TCGA-ZC-AAAH-01A	TCGA-ZL-A9V6-01A	TCGA-ZT-A8OM-01A
DACH1	1.484252711715198	4.375775262767135	0.21903450878763886	1.5532101984916418	3.4693598883320176	1.5034473249567393	0.07575030334124278	1.7772779759040618	1.0392798248447113	0.818940162606292	0.5666272933881566	2.1015153400153603	4.417209881193818	0.040448724060931474	0.2878547162272105	0.8956763662705272	1.5869554772864731	2.2673365893863497	0.574467625000143	1.7685920710268044	0.41476307908163945	3.7241498390060217	1.7754498636356142	2.6101240749270356	0.25130163323989185	0.18698875483816613	0.8639491935288313	3.0411575388857166	0.32560370753285794	0.26619208352329227	1.3269396203965078	4.246669270583781	2.3431945708185964	0.6839040452367275	1.611675603481018	4.6666348416411845	1.5061672643129969	1.0182238195155602	0.874448236161478	1.59937877985395	1.5934383071638916	1.029023393466384	2.230191078284485	0.7542987798001823	3.5004632114188485	1.9427753651692914	1.754028108558463	1.0838381213037427	0.4802969362690859	0.3647720666570702	1.8103398382354703	2.4229897753537286	0.3864358331587876	1.1436011701186546	1.0105360186532057	0.7931549887854801	0.46963912620117076	0.8893658646052429	0.45006889133590766	1.0392328020926964	2.3646916339797257	1.2326675064484691	1.9891133020331209	0.5567486486435111	5.468817803332386	7.936946386347961	1.8071591431428096	6.838247284550042	13.236580004871326	3.1123885904086235	5.4531492276414	3.863041827797968	0.17790226129527031	0.4410540237473366	1.8107002783757293	0.1462661548288231	0.08984302155712487	0.785809419772644	0.05620628596802235	1.1594044643569132	1.5869336130560594	0.8763940801615497	0.7418919398404613	0.36855837106671596	0.03967640407953543	1.1322434191185575	1.237542348142711	1.7122279479110794	1.4126153759374982	6.669569304581673	3.111279929494356	2.0089575583174084	0.14461009282867887	3.069614788059183	11.366387786484633	3.354086698224907	2.1008550454001393	2.5400037482919284	0.693587422187727	1.242533225197226	2.46578733028943	3.117253866426015	3.929508233439887	0.429786080637947	0.7411963469635101	0.9660711807948938	0.04442453292061099	1.9371700549925226	8.856327313937133	2.547671952514052	0.6490053569461123	1.4123905516942954	5.080454440791983	0.7994689686800378	0.06600963822161199	0.07560933278587689	0.6472874049320085	1.1154817158696662	0.4681959193511429	2.7299193019007477	0.4353766873701215
ST3GAL6	8.389367968813263	1.0929355397750782	1.1865256500355326	5.562166329997403	1.6895007138890148	4.498030608845396	0.44825870730640904	18.181440993926845	35.24764855867869	3.796615306708885	2.958424832018537	1.8277604936022906	3.1880564021705613	0.5388946875414917	3.56919070625739	2.172957497959604	3.974511544971529	6.298088145204187	1.8840557831948903	3.990796364187175	2.9793503802763603	2.113986685831576	6.178833561227976	3.44091770341187	1.205062393453193	1.6215616312360734	2.1989647046538394	0.4053370788192874	1.53763294702811	2.3755734772628245	6.883583428722427	4.07339362400499	2.7166644669511273	4.12755943478442	5.706471360312988	1.9058600845150928	4.234293971573709	5.202505688902944	4.627716211560857	3.876090666134231	3.0355854103093662	5.670449677016845	2.415932513874243	0.9727239523182121	3.502104566266909	0.27154756579085526	5.553978236971286	0.8863368180593933	2.12757396248013	2.672019090718479	1.8122022410734635	2.2450224288370273	0.5795769296376698	1.9249861722264905	5.41867527350246	2.19521536518904	4.205082124607353	8.557236336499953	1.7897510536133292	0.5708051872670874	5.179776546475997	4.287871559877273	4.329820130176937	1.5148071603050606	0.8824883902265432	0.9520242127796987	1.5767573552765892	0.9349823899923551	1.2592349604235369	4.887713582453052	3.635287343780525	4.0852034305237135	1.810062216475902	1.2029473805872977	1.7139090976417792	0.7872254733769182	1.2961346575566184	4.636681538816523	4.7857323981063	0.5225194543592995	1.420177005297898	3.3817090200236084	3.382859928092947	1.7444379553605058	1.1816334160412403	2.875534083588353	2.9948635089277444	2.3964495411733076	2.771951791610942	1.5893312946045728	2.991136905352302	2.6108282913778416	5.486192925442822	4.580399148307443	0.9212175206665187	0.6492083822184376	0.6029368733288336	0.9669731982471481	3.107520324158407	5.644254313394155	1.7670128849158586	3.21738399418377	2.1942750153008634	1.902453227011343	2.882342323286217	1.0801579661176501	2.028753643003229	2.175228839065235	1.1673671885858266	3.1394577998069044	3.278512374484632	2.881496635196649	2.5219989770636966	4.340696902384104	0.5692576773269691	0.6609539889815896	1.908485804994116	2.2029576089890663	4.7995084197538604	1.0916144825961047	2.973737502142506
MAP9	0.46927762003681583	1.9894601601287114	0.28917187621326157	1.7933501524112403	4.340511087632424	0.6736000168004497	1.7272744655139656	0.8015917322415049	0.8449436460701729	0.7424041917741173	0.4876563690885518	1.2441919746070034	2.328018037863953	2.1433800759310953	0.14689484063766378	1.0207708677739427	0.8668459863065814	1.340414107364523	0.6550287066931761	1.2765208732327635	0.6906712390739331	1.582310767495167	1.1419934987893643	1.1860305897279346	1.4507610441467667	4.396629442958875	1.320768402224592	1.8720379466916444	0.10512067677931936	0.6372904604968948	1.745529281741872	2.054364354527192	1.4327899697554205	0.6132268214492249	0.8056437043474551	3.419920067789624	2.0897036361888746	0.5958354922574491	0.8014062127889974	1.4035227488780206	1.0276912475429905	0.7459967852577827	1.4133983639264622	1.891908000970135	3.7664545668758898	1.3165142611374714	1.0423529945756616	1.4573478798833785	0.4753210320199861	0.2931333849679436	1.0328360310744071	1.2123957482672143	1.0948010861144706	1.2166411749780255	0.7397116819663931	0.8786002673835507	0.7853121616740155	0.5895383163753045	2.6398397766851818	8.7685853133728	1.2610531776734466	0.4853010720321207	0.8599853824451007	0.5020046379588323	2.4441562287502356	3.397021486755314	1.635684832870886	2.2559167863722602	4.3662706352217375	1.4575368144134555	2.9010512018130727	0.6853306583062952	0.6772175848535789	1.2021679362105133	2.6360112766917068	0.10857384399038139	1.5624954537612177	0.36221367136019333	5.167385853540946	2.6149715821189146	0.9635295315904535	1.0260406155216266	0.5586394933691652	0.24718202215884544	0.07544037963769301	0.782686261396581	0.7819374692005099	3.954831461220518	1.2761466523172005	3.9947226267925924	1.3775840120039415	0.9277766898211424	0.519125252625569	2.12961290817358	5.348912931316493	3.223763931217219	2.081224106348636	4.50038664663016	1.2660300163149967	0.8433417896925326	3.3905010299685827	2.0164955091635033	1.805419163228824	0.5634409878014608	0.6905591925015531	3.7546949092718362	1.7144678254801837	1.8145490295372637	3.790023277732214	2.92348558449091	0.4558826387265642	1.2372846639234667	3.414319573301553	0.4587948882157724	1.1245711110557006	0.9016812024312375	0.7553478899985302	0.9479802627707679	0.566977467137771	4.3479289412170194	0.6742982860047184
FCGR2B	0.3496609618526336	0.8365310982668295	0.3641517552496176	0.4863668643553438	1.6872682734625584	0.7193936416349793	0.5287985084147253	0.21997944413659365	0.49602109493642055	0.2657203905551291	0.2761498412019159	1.9876433465228902	0.9722787894027705	0.26953010816307854	0.6914842900231744	0.3142902578532525	0.07085674622572036	0.16300747748505962	0.4902797187717036	0.26684164584134473	0.4978971610495484	1.3083890513340584	0.37330570223876647	0.45372931032314545	0.3499246805118721	2.8815709620219	0.8937300173545106	0.2974173421069204	0.36789077741385223	1.4033467186940083	0.20952062287659778	0.10766229364817015	2.2584102873898577	0.5445159330718201	0.49037443734449315	0.8337355499191441	0.8006758209568636	0.06941917305638556	0.4858321661960956	1.0494606899415913	0.17395246204973658	0.4507114670029386	0.31998320773343036	1.9858009587750645	0.9136846379626755	0.04226173418810619	0.16259857054639726	3.4580017349779997	0.17146781401899447	0.34884005910469806	0.16832697140860486	0.8112434546171821	8.955198561849786	2.7980579028644454	0.3592737958112453	0.4383928641173942	1.1857046294453473	0.38552509941168434	1.1118122611960155	0.8148411442908456	0.13829391421824777	1.4637864707454327	0.06906361213071643	1.2553349247809398	0.25675261958216655	0.49589311070548936	0.7125379206795242	0.7736414151437383	0.37354977659140487	0.8910814103166378	1.3384546054125979	0.04007480425347909	0.7789835144260298	1.0457066684589402	1.4556284155167298	0.5953627217075435	0.8611174982827472	1.6451454595171207	0.8743696596548911	1.395074179417004	0.3021971952964375	1.0072671248650908	0.357970626014384	0.8393131385605785	0.7734631080331975	0.83204388588683	0.24125002583373978	4.348030553107352	0.37612776963233574	0.4820197357090643	0.3209971348537324	0.125835824049914	0.2555957060601921	2.037269287603702	0.054880395530079173	1.3290406875476832	2.077054187148546	0.21038798316572915	0.24037316472381298	0.5851723032794918	1.0645736604658058	0.9245980281117305	0.3933441730390541	0.11746995960572226	1.8530961052754855	0.5841085954450747	0.648281183953471	3.3092390806773384	0.3656190448440424	2.4577683165784596	0.4649314279812886	0.1389838509692609	0.3464114821502051	0.34712213621689325	0.41821346629395517	0.7487665198488673	0.7156707204651456	0.19854603295161688	0.4324316978065721	1.4485493124298299	0.7561463506380959
CD1C	264.7885338776409	6.003415490488025	111.21663732375302	33.895274617449054	4.531769232123474	144.97509203480337	0.17610217359064717	151.06371514952045	267.803702453802	381.93354533311344	73.49697891696906	53.54243929305584	57.689446777684786	0.9390253930684023	20.730978297925788	134.90718239524284	162.1781428550579	162.64595710432027	112.845013387158	172.9983406680718	218.0232283555026	5.434992543791082	247.96051659535277	117.79643340264569	40.277403666637866	6.784137103892216	87.32366965209869	0.8976186649117313	45.24257843635608	62.00052372363138	20.056951550867318	179.52829219465255	56.4925605223111	246.22209924667146	286.1402560002797	28.915691065307183	76.1498509352983	246.43907419450207	128.6058714241912	84.72303208081095	83.81018488995217	286.9683408169722	96.17479860257195	30.378202923680046	35.90835889177169	0.0782821884145588	125.36945217337001	14.432286026966409	111.3952335468677	145.05063988504313	118.57852951185205	116.0510403070387	5.714184251221267	44.746971846222245	109.9813618618399	34.0788575373482	139.73796883563847	183.11966819912374	13.440383151912851	3.5685234254464486	107.51770857991046	49.619758672274266	247.68527868807132	79.40056093075121	3.4510366021997525	4.760962068131567	16.637144203611292	2.2414648273153763	1.6662121265152456	161.7032323729861	20.067593587968705	266.43839729225425	64.5653160612278	17.98466002122261	0.1315262105838948	27.673130436204975	1.6869827288253005	60.93428260349631	0.9498470647147552	4.954583965608807	134.57339987896225	231.36744959086323	182.66666626437308	81.64524921781523	34.12118217624098	98.17509040874684	113.75868111625282	2.9143627900138243	135.2111932132376	63.09376513475078	50.09713115082846	276.2378379087993	2.606730448248854	105.78811036163047	0.2643055146401123	7.175102313433262	0.4555168880796103	1.29980573442724	146.4130073973325	119.99706075597952	1.3471497234718957	137.97664778758514	43.984092555181505	20.782573860474923	186.71994012333838	4.286603089421432	1.596819823772436	65.64185258897513	17.883752445734864	45.590312199886746	196.96353810747627	284.3115259703554	109.79601000383634	222.2403825246096	0.7281846340454385	0.22715467282696267	37.151691601222936	109.07546834594018	184.4469394154401	5.537144522604265	55.04546847682071
CD79B	9.352346444374824	4.2044150428174945	29.28457009337398	7.351218747137574	3.719439079223336	7.383230711213008	3.476585144470133	2.7335766777519392	9.110852528703221	6.0662506338894895	12.855139860466476	6.097819034473311	5.2520644430530545	0.9717558454698765	6.892569127405269	5.756815754268743	4.901954624942048	4.485625377685097	11.016269190140624	3.8198676547420654	20.68595960992918	7.518522783102261	11.434165390283734	4.038105164384895	22.478062353779418	49.998192083731865	4.746707020826628	258.27535530792204	8.995481294142595	9.265537702252562	12.080921922132296	3.653062872146009	22.865806165442613	7.777722981813161	9.309208751449267	4.289910670291081	3.337751980673789	6.746567413949664	8.425116944352677	6.179171506108932	5.744351663722315	17.153550502849665	5.657939868600313	38.25868277745078	3.828169278734628	0.550873265298343	4.894023841632206	25.701422340128072	20.314955148428677	14.33661430007824	5.936021586804451	8.367260476138014	97.85197129756871	48.75506018994818	4.945418604582034	16.216034679474824	9.63206732197018	5.580205247636359	4.085901961028812	15.991440417139945	3.3786384373430254	13.306981555021101	7.8498030817101725	5.265850878501362	3.5054049124851403	2.0007209442765466	23.674757547248337	3.727734137473635	5.680991575595828	4.523808086975607	4.364789603245785	3.2844256318198335	11.357561513295844	9.489138918466141	0.6987013768524037	8.177868699358346	2.7835552962613233	5.453815028304261	3.720665624190328	44.46232029387543	8.828972616980769	15.35627220431386	6.7328072961626315	45.780231202033214	57.681530022370474	11.411430781078144	6.412611263635579	2.670201876091822	5.9361732334825374	3.8690243486982308	9.150637052645006	4.590585188823864	4.246206549461572	5.71377615235026	4.666384327050445	8.04668820210347	1.9861412314371698	4.5543144027716576	4.961693593043344	6.555342610259628	3.1310981565373925	3.5822676013368095	3.0531498028466384	7.117330773721601	5.749017750926409	3.0343581239189668	3.2720712756803767	3.2009082926710546	2.8435924976580007	4.470696685825267	9.924865715224996	2.959636201049856	2.3019709164708457	8.650100060327988	6.851572349207815	6.092291055453076	11.013361101292398	5.434574922973508	20.056257465466725	6.9404738125865	11.04075065179723
VNN2	4.175885464677896	1.1937161798894245	1.3364449829161082	1.2265349193728459	0.8250543265943904	3.244971189320811	0.29531288568578606	3.216083599351938	3.4290470046256427	2.857307249538654	1.7319569129745118	1.6230952808414414	1.9206327922572402	0.15804791123969886	1.3208508639773995	2.087020920269049	3.3410362907873177	1.689482410071546	1.8053182533981262	2.781946648125075	3.205720975283808	0.715777836801371	4.821326292039913	2.092637195102467	1.518535783822764	3.476847099109545	1.2795431723111208	0.5412506143441269	1.1832318148106422	1.042262951445832	1.2183328263055397	3.819219161050486	2.60346194237956	3.4036184694322316	4.003643776970363	1.3145344409274626	2.201924851447622	3.108938522193278	3.0201965843621537	2.696931089870181	2.6929133327297015	4.391478796921365	3.958390792974365	2.545632991206766	1.1764780676137128	0.08532847730678883	3.5146806582839556	1.1514878602708776	2.048967885790136	2.4228776040052264	2.8216126051673176	2.372078025071847	13.297408555255572	4.092590538080989	2.829025297585342	1.981456599880246	1.8888256782660457	3.6056629963388698	0.42005016804743067	0.31728925138926534	3.0391406654235213	1.978759840712037	3.965403489423604	1.5856976695376956	0.471740276395604	0.29581856921628447	1.4277300750662634	0.5096788034549589	0.454047550616574	2.890910308736762	1.720419546132224	1.6303961523121702	0.9056198228933507	1.3662664877462474	0.5161142452557137	1.3890540641238371	0.8504590579796372	1.910498417011766	1.0813594173158876	2.993488327911771	2.796699353116413	5.551207814049523	3.0620499215938004	2.6144525938698595	1.9083476366217003	1.6136725203335747	2.7439708913763674	2.9329744385734906	1.7453100928806053	1.704673533757051	2.704679626885724	2.952380728479975	1.7067927043264364	2.2297561309221137	0.23571492743005185	0.155040725689364	2.631548569915112	0.3346778882621513	2.4842573421086707	3.348849282423756	0.9195373915905263	2.83847161110177	1.362120238728358	1.3693513160654658	2.5315229761219116	0.48062923237232336	2.338054659198432	2.0320732099723493	0.8149095372559036	2.3961074154012985	2.635058861840923	5.08508558344958	1.804822923711134	3.393431855643102	2.8287170059428637	4.611572006325034	2.965998570242967	2.258256898149369	2.949218749252652	1.4117810235156303	1.9171977206048836
RCAN3	3.8277578679616244	2.7820935909778663	5.198831054916168	6.366927523193624	7.949318164049483	7.014785830459594	4.540429358150097	2.689540736063116	8.773531989566308	7.169390778783258	3.8435413193883736	4.70805343061471	4.115697925085284	3.6093088524756647	10.178465588898652	3.8456585846112716	2.00664663301655	2.7346982950310212	1.7738955917194978	3.8941259502569388	2.9089986896334437	3.745273277471667	5.221988286626452	4.316928613415855	4.050482589006916	4.662615338933091	4.545658581448038	2.931518246392259	4.7387089040098775	1.4497469034326929	3.2925835324375736	3.5937717045952446	4.1116427602497	5.259876344175059	6.001542596997411	5.976301682957018	3.4926023997680273	2.499787904005178	2.0101119348563934	4.611799170098876	3.3766430579286917	7.679099796490824	4.692598336661176	11.790178516492206	5.263731577909651	1.1333495468113934	2.805194866709705	4.441618276588429	2.467622599158	3.8153648245031073	4.475582308555956	4.221704457274821	8.096843788242117	14.42345432759139	4.563953750068452	8.148297392520071	3.3911493061688063	2.8127974469969583	6.604877551842746	5.268418987338602	2.6930569845354544	5.815965779066712	4.569306448757016	3.593388461722806	6.751479443430918	4.918082391042566	5.063365352796405	3.985159165933479	5.858637249976527	2.9645572168862477	4.303076402025142	1.196872601345484	3.3380991871817276	4.747344423938877	2.2135692117488746	4.811567461048245	6.077420635131781	3.546754505596553	1.1620202880441943	4.107348572939653	10.99280195302363	10.24440916592091	4.9814290940416015	5.128243521220728	0.8195227978643334	2.3879272849900923	2.7123192099884186	3.092294202211976	3.151609936494104	1.999293027482079	5.288064490639007	2.75360888894923	5.08744314114503	5.408669305452204	5.361746683428749	4.28776588267496	1.1896605255141082	13.989486073920592	2.0421936965147536	5.776916608731028	3.206325787372748	4.795315711573317	6.446077487380925	4.5987039880971325	4.487034273654715	6.276746994609302	4.006252785836149	3.0440294377058352	9.13152399122942	3.167713668272839	4.500079442976059	6.438655227038071	3.2022708734561967	2.9850989191294146	4.341645909296555	2.297244864487055	13.473743170235528	2.5297882990726	2.6894929258011517	6.88665776956103	0.8740363029893568
CRYBB1	0.3508539974400997	1.6994597232044395	0.6265055988032753	0.9569143872631432	0.5341575889044405	0.43444567416375657	0.2822355092603561	0.26211688593567883	0.35050247049913286	0.3762881369317588	0.29167585099504945	0.6232578569832246	1.0648399091774627	0.5934070071622746	0.20433876224612657	0.20215551882572713	0.17457222921968274	0.7077273553041101	0.6193647117742682	0.40663286780709784	0.5337563838890849	0.4548410637084723	0.5426440174162726	0.4064977007573043	0.5559378085092719	0.10848959978419281	0.4458420335912898	0.09947737453330241	0.6661525757968592	0.8489559327529352	0.929887800309956	0.40920316306573556	0.9964077599683743	0.28163598431800896	0.3090751157321032	0.5628035451649906	1.1720802126730883	0.6530252790290518	0.5345283058851273	0.9336559163419069	1.2244935106460626	0.42826636809912766	0.5409415482347621	0.39314995314207546	0.72075637582383	0.2242621314191	0.6997999223596227	0.8698776559485344	0.4810688476850362	0.3029108311642763	0.527816560529839	1.0606011721412045	1.653529824676653	0.4353394871342593	0.6816169478139422	0.513355531534273	0.7708964759086496	0.7364420488771968	0.5810446564680223	0.16846594049411778	0.6292075357263267	0.7091753167768229	0.07218672465754294	0.7380574805904174	0.5855196680189942	0.1211651998047183	0.398978283786781	0.7731883095651879	0.5188423896665892	1.0412908703632318	0.7599400831888032	0.18849158724694082	0.8030562217938182	0.5537838149976066	0.46243040191360385	0.2431920370670877	0.7322505190114565	0.8151319568295787	1.0719538410233134	0.3747228266896454	0.42478100345668324	0.5687240585574271	0.320707155352419	0.40961909373065564	1.1156468367641659	1.449449308178246	1.0862257433807612	1.4457214082434544	0.8845572876336454	0.445480346821848	0.2625753017021999	0.5153680536393737	0.8014618532577664	1.0849395374320938	0.42239387744271495	0.2469583973018663	0.35589840348226276	0.23989297998029624	0.9986910605122856	0.5414467301129888	1.0218807040287468	0.8605480329234199	0.4767743624049714	0.45501581903252686	0.6343046687052443	0.348869976935249	1.3345039849778506	2.135565223642232	0.3586683943345632	0.8381514743355236	0.6450743416591433	0.2113000921840016	0.5226968880949061	0.7774698870213963	0.8271757914814404	1.7747747123728144	0.3307097377403343	0.4446952403847402	0.6224077904489722	0.410490051770408	0.3871052579167187
MEP1A	0.032436334327080374	0.24591831827705923	0.014947156741330181	0.04423320699506461	0.014109339956220657	0.012358263627477495	0.11089345701497266	0.01530481146073015	0.016201917889724804	0.009939346282366035	0.013482667273374549	0.2304799189241329	0.023439069589173522	0.019949192248094327	0.0	0.012459473251987374	0.011737559280091459	0.20355737579468514	0.008180008537547412	0.0	0.009869119715530061	0.06727984593383507	0.028667004179931288	0.0450966912316797	0.005410133035831377	0.11462659536063113	0.18842489780171467	0.09196649893946685	0.012016698944599113	0.041859035252525434	0.1121319327341519	0.030264556087217453	0.01052772149068626	0.0	0.04571822517282542	0.09399148186640538	0.3102991185386519	0.0804959572135151	0.0	0.09622131112781118	0.0987962305349317	0.007918616403419954	0.03226442878088864	1.77029230972909	0.03331684254022793	0.02261777322980074	0.014787718397700766	0.7929775928420835	0.010464624361381736	0.0	0.008872084345728393	0.006128263903608433	0.20746409077663475	0.6191844538225517	0.007001695343861858	0.025311758199088263	0.023756373502583195	0.035968810719511524	0.03255599000553233	0.051915398888220166	0.08804111972773376	0.021854340019231477	0.006673638470851007	0.01819551104272965	0.15156707111113543	0.3435182499173679	0.0959020619723947	0.1715543994243498	0.15116811214881243	0.019253398307722325	0.11496470019933902	0.0	0.0	0.07544839895596844	0.04433492568188835	0.08464196599998619	0.0	0.12057388140018865	0.030492853196095293	0.10844765086383235	0.006041670957790846	0.03755596311903542	0.03706158611560717	0.0	0.03587519154099561	0.032160264515379566	0.02151882974372965	0.06682822952513612	0.0	0.029417506124005177	0.01078888823547608	0.04168990316449084	0.46200336558833777	0.047905574286378316	0.17934153170775136	0.17503936068239212	0.07019240100891766	0.10842590243512373	0.1533004056671119	0.03707893963363307	0.025192674179866925	0.06061514428136694	0.114985121251032	0.0	0.0	0.08063228074265893	0.13772031135708152	0.040498930931880395	0.033158772697673866	0.06829347071617042	0.0	0.004883655654087882	0.030201969939185114	0.008214494875314227	0.1342925110480404	0.04101933164940319	0.008735429793583549	0.0	0.0	0.13199884361016778	0.10736325358016297
